Nome,Descrição,Quantidade,Data de Chegada
Teclado Mecânico,Teclado mecânico retroiluminado,50,2024-08-01
Mouse Óptico,Mouse óptico com ajuste de DPI,75,2024-08-01
Monitor 24 Pol,Monitor LCD 24 polegadas Full HD,30,2024-08-01
Notebook i5,Notebook com processador Intel i5,20,2024-08-01
Impressora Laser,Impressora a laser multifuncional,15,2024-08-01
Webcam HD,Webcam com resolução HD,40,2024-08-01
Headset Gamer,Headset com microfone e som surround,35,2024-08-01
Mousepad Grande,Mousepad grande com superfície anti-derrapante,60,2024-08-01
Pen Drive 64GB,Pen drive com capacidade de 64GB,80,2024-08-01
Teclado Numérico,Teclado numérico USB,55,2024-08-01
Cadeira Ergonômica,Cadeira ergonômica para escritório,10,2024-08-01
Adaptador USB-C,Adaptador USB-C para HDMI,50,2024-08-01
Smartphone Android,Smartphone com sistema Android,25,2024-08-01
Hub USB 3.0,Hub USB 3.0 com 4 portas,65,2024-08-01
Cabo HDMI,Cabo HDMI 1.4 de 2 metros,90,2024-08-01
Carregador Portátil,Carregador portátil com 10000mAh,45,2024-08-01
Suporte para Notebook,Suporte ajustável para notebook,40,2024-08-01
Scanner Documentos,Scanner para documentos e fotos,18,2024-08-01
Microfone Condensador,Microfone condensador para gravação,25,2024-08-01
Alto-Falante Bluetooth,Alto-falante Bluetooth portátil,55,2024-08-01
Borracha,FabriCastelo,23,2024-08-01
Moto G10,Celular da Motorola,56,2024-08-01
Teclado Wireless,Teclado sem fio com bateria de longa duração,40,2024-08-15
Mesa Gamer,Mesa para gamers com ajuste de altura,10,2024-08-15
Monitor 27 Pol,Monitor LCD 27 polegadas Ultra HD,25,2024-08-15
Mouse Gamer,Mouse gamer com iluminação RGB,30,2024-08-15
Teclado Compacto,Teclado compacto para portátil,50,2024-08-15
