
ID,Nome,Descrição,Quantidade,Preço
1,Teclado Mecânico,Teclado mecânico retroiluminado,50,150.00
2,Mouse Óptico,Mouse óptico com ajuste de DPI,75,60.00
3,Monitor 24 Pol,Monitor LCD 24 polegadas Full HD,30,1200.00
4,Notebook i5,Notebook com processador Intel i5,20,3500.00
5,Impressora Laser,Impressora a laser multifuncional,15,800.00
6,Webcam HD,Webcam com resolução HD,40,100.00
7,Headset Gamer,Headset com microfone e som surround,35,200.00
8,Mousepad Grande,Mousepad grande com superfície anti-derrapante,60,25.00
9,Pen Drive 64GB,Pen drive com capacidade de 64GB,80,45.00
10,Teclado Numérico,Teclado numérico USB,55,70.00
11,Cadeira Ergonômica,Cadeira ergonômica para escritório,10,600.00
12,Adaptador USB-C,Adaptador USB-C para HDMI,50,50.00
13,Smartphone Android,Smartphone com sistema Android,25,1200.00
14,Hub USB 3.0,Hub USB 3.0 com 4 portas,65,30.00
15,Cabo HDMI,Cabo HDMI 1.4 de 2 metros,90,20.00
16,Carregador Portátil,Carregador portátil com 10000mAh,45,75.00
17,Suporte para Notebook,Suporte ajustável para notebook,40,35.00
18,Scanner Documentos,Scanner para documentos e fotos,18,450.00
19,Microfone Condensador,Microfone condensador para gravação,25,150.00
20,Alto-Falante Bluetooth,Alto-falante Bluetooth portátil,55,120.00
